Symphonic gothic,,,,
Progressive heavy,,,,
Doom,Folk,Neofolk,,
Hard rock,,,,
First wave of black,Heavy,,,
Black,,,,
Metalcore,Heavy,Alternative,,
Teutonic thrash,,,,
Progressive death,,,,
Symphonic gothic,Symphonic progressive,,,
Extreme progressive,Avantgarde,,,
Avantgarde,Symphonic,,,
Pagan folk,,,,
Progressive,,,,
Progressive metalcore,,,,
Bay area thrash,,,,
Heavy,,,,
Melodic metalcore,,,,
Heavy,,,,
Melodic black,Progressive black,,,
Post-metal,Atmospheric sludge,,,
Groove thrash,Nu,,,
Technical death,,,,
Nu,Melodic death,Groove thrash,,
Depressive black,Progressive black,,,
Industrial,Thrash,,,
Doom,Death doom,Atmospheric gothic,Experimental rock,
Black,Grindcore,,,
Post-metal,Alternative,,,
Symphonic,,,,
Black,,,,
New wave of british heavy,Heavy,,,
Technical thrash,Progressive thrash,,,
Death,,,,
Power,Heavy,,,
Gothenburg,,,,
Black,Electro industrial,,,
Melodic metalcore,,,,
Death,Death 'n' roll,,,
Progressive rock,,,,
Gothic,Symphonic,,,
Atmospheric black,Pagan black,,,
Progressive,Instrumental,Djent,,
Heavy,Progressive heavy,Progressive rock,,
Power,,,,
Black,Death,,,
Hard rock,Glam rock,New wave,,Heavy
Gothic,Melodic death,,,
Deathcore,Progressive death,Technical death,,
Nu,Alternative,,,
Power,,,,
Gothic,Gothic industrial,,,
Hard rock,Symphonic rock,Glam,Heavy,
Heavy,Sludge,Stoner,,
Blackened thrash,,,,
Alternative,Nu,,,
Atmospheric black,,,,
Groove metal,,,,
Doom,Stoner,,,
Industrial rock,Industrial,,,
Death doom,Melodic death,,,
Melodic death,,,,
Alternative,,,,
Brutal death,Technical death,Death,,
Black,Viking folk,Folk,,
Gothic,Symphonic black,,,
Black,,,,
Heavy,,,,
Alternative,Industrial,,,
Melodic death,Metalcore,,,
Heavy,Speed,,,
Atmospheric sludge,Post-hardcore,Post-metal,,
Symphonic black,,,,
Symphonic power,,,,
Sludge,Stoner rock,Progressive rock,,
Progressive rock,,,,
Funeral doom,,,,
Heavy,,,,
Heavy,Power,,,
Black,Avantgarde,,,
Gothic,Symphonic,,,
Technical thrash,,,,
Progressive power,,,,
Symphonic,,,,
Funeral doom,,,,
Melodic black,Folk,,,
Heavy,,,,
Post-metal,Sludge,,,
Melodic death,Folk,,,
Neoclassical power,,,,
Stoner,Stoner rock,,,
Melodic metalcore,,,,
Industrial rock,Alternative,Industrial,Glam rock,Alternative rock
Atmospheric black,Post-rock,,,
Melodic black,Doom,Gothic doom,,
Atmospheric black,Industrial,,,
Alternative,Hard rock,,,
Progressive,,,,
Suomi,,,,
Thrash,,,,
Thrash,,,,
Death doom,Extreme progressive,,,
Thrash,,,,
Death,,,,
Atmospheric symphonic,,,,
Thrash,Death,Symphonic black,,
Groove thrash,,,,
Melodic death,Progressive,,,
Metalcore,Melodic death,,,
Progressive,Oriental folk,,,
Power,,,,
Death,Gothic,Progressive,,
Stoner,Sludge,,,
Heavy,Thrash,,,
Melodic death,Progressive thrash,,,
Hard rock,,,,
Folk,Power,,,
Blackened thrash,Death,,,
Heavy,Hard rock,,,
Alternative thrash,Thrash,Melodic death,,
Black,,,,
Hard rock,Heavy,,,
Folk,Power,,,
Gothic industrial,,,,
Melodic death,,,,
Metalcore,Progressive metalcore,,,
Death,Technical death,Avantgarde,,
Progressive,,,,
Brutal death,Melodic death,Grindcore,,
Crossover thrash,,,,
Gothic,Doom,,,
Death,,,,
Hard rock,Rock,Instrumental,,
Melodic death,Progressive,,,
Heavy,Power,,,
Brutal death,,,,
Black,Folk,,,
Doom,Neofolk,,,
Power,Industrial,,,
Hard rock,,,,
Technical death,,,,
Melodic death,Thrash,Gothenburg,Heavy,
Death,Progressive death,Technical death,,
Metalcore,Melodic death,,,
Thrash,,,,
Nu,Alternative,,,
Technical death,,,,
Post-metal,Sludge,Hardcore,,
Black,Progressive,Folk,,
Thrash,Progressive,,,
Us power,Progressive,,,
Heavy,Hard rock,,,
Extreme avantgarde,,,,
Death,,,,
Blackened hardcore,Punk,,,
Black,,,,
Glam rock,Glam,,,
Thrash,,,,
Symphonic power,,,,
Deathgrind,Goregrind,,,
Technical death,Thrash,,,
Progressive,Power,,,
Thrash,,,,
Symphonic black,,,,
Melodic death,Technical death,,,
Death,,,,
Black,,,,
Gothic,Doom,,,
